ID,Player,Pos,Goals2019,Shots2019,Sh2019,Goals2020,Shots2020,Sh2020,id
8471707,James Neal,L,5,70,0.071428571,4,41,0.097560976,241
8477987,Ryan Donato,C,14,84,0.166666667,4,84,0.047619048,242
8477962,Brendan Lemieux,L,3,70,0.042857143,4,49,0.081632653,243
8475855,Jesper Fast,R,10,74,0.135135135,4,34,0.117647059,244
8471699,Andrew Cogliano,C,3,60,0.05,4,77,0.051948052,245
8476919,Chris Tierney,C,5,79,0.063291139,4,44,0.090909091,246
8477937,Jake Virtanen,R,11,128,0.0859375,4,42,0.095238095,247
8474038,Paul Byron,L,3,25,0.12,4,37,0.108108108,248
8476975,Cedric Paquette,C,4,70,0.057142857,4,32,0.125,249
8474176,Carl Hagelin,L,6,95,0.063157895,4,79,0.050632911,250
8466138,Joe Thornton,C,4,55,0.072727273,4,31,0.129032258,251
8476927,Teddy Blueger,C,9,88,0.102272727,4,40,0.1,252
8476439,Brett Ritchie,R,2,31,0.064516129,4,32,0.125,253
8476889,Radek Faksa,C,8,92,0.086956522,4,80,0.05,254
8480074,Alexandre Texier,C,5,48,0.104166667,4,65,0.061538462,255
8478455,Austin Wagner,L,6,119,0.050420168,4,65,0.061538462,256
8476374,Sean Kuraly,C,6,88,0.068181818,4,75,0.053333333,257
8478474,Lawson Crouse,L,11,96,0.114583333,4,66,0.060606061,258
8471887,Patric Hornqvist,R,14,111,0.126126126,4,92,0.043478261,259
8477426,Nick Paul,L,9,96,0.09375,4,84,0.047619048,260
8476479,Phillip Danault,C,11,107,0.102803738,4,65,0.061538462,261
8478874,Adam Gaudette,C,8,60,0.133333333,4,60,0.066666667,262
8477290,Michael Raffl,L,7,60,0.116666667,4,42,0.095238095,263
8475752,Tyler Pitlick,C,9,72,0.125,4,45,0.088888889,264
8475745,Charlie Coyle,C,12,108,0.111111111,4,68,0.058823529,265
8475163,Alex Chiasson,R,5,68,0.073529412,4,36,0.111111111,266
8476326,Josh Archibald,R,7,53,0.132075472,4,52,0.076923077,267
8473544,Derick Brassard,C,7,85,0.082352941,4,42,0.095238095,268
8476851,Alex Galchenyuk,C,6,65,0.092307692,4,53,0.075471698,269
8480003,Jesper Boqvist,C,3,38,0.078947368,4,30,0.133333333,270
8475160,Kyle Clifford,L,7,106,0.066037736,4,63,0.063492063,271
8478498,Jake DeBrusk,L,12,131,0.091603053,3,71,0.042253521,272
8476921,Jordan Martinook,L,2,37,0.054054054,3,55,0.054545455,273
8478146,Matthew Highmore,C,2,34,0.058823529,3,38,0.078947368,274
8477341,Andreas Johnsson,L,4,63,0.063492063,3,60,0.05,275
8478519,Anthony Cirelli,C,12,89,0.134831461,3,54,0.055555556,276
8470595,Eric Staal,C,13,84,0.154761905,3,66,0.045454545,277
8480023,Robert Thomas,C,9,71,0.126760563,3,19,0.157894737,278
8475772,Riley Sheahan,C,5,58,0.086206897,3,39,0.076923077,279
8471260,Blake Comeau,L,7,62,0.112903226,3,70,0.042857143,280
8479407,Jesper Bratt,L,14,85,0.164705882,3,77,0.038961039,281
8477964,Ivan Barbashev,C,8,63,0.126984127,3,39,0.076923077,282
8475209,Richard Panik,R,8,64,0.125,3,56,0.053571429,283
8473504,Cal Clutterbuck,R,2,28,0.071428571,3,43,0.069767442,284
8480821,Filip Zadina,R,4,43,0.093023256,3,69,0.043478261,285
8478211,Dryden Hunt,L,0,33,0,3,39,0.076923077,286
8474589,Tyler Ennis,C,11,124,0.088709677,3,35,0.085714286,287
8471215,Evgeni Malkin,C,16,105,0.152380952,3,42,0.071428571,288
8475793,Ryan Johansen,C,10,77,0.12987013,3,47,0.063829787,289
8473453,Trevor Lewis,C,5,89,0.056179775,3,64,0.046875,290
8478569,Noel Acciari,C,19,98,0.193877551,3,54,0.055555556,291
8475766,Austin Watson,L,6,47,0.127659574,3,37,0.081081081,292
8474040,Sam Gagner,C,4,70,0.057142857,3,67,0.044776119,293
8476915,Jujhar Khaira,L,6,64,0.09375,3,33,0.090909091,294
8477979,Nicolas Aube-Kubel,R,5,44,0.113636364,3,53,0.056603774,295
8476480,Vladislav Namestnikov,C,8,69,0.115942029,3,69,0.043478261,296
8476624,Barclay Goodrow,C,8,85,0.094117647,2,63,0.031746032,297
8479465,Drake Caggiula,C,8,51,0.156862745,2,42,0.047619048,298
8481481,Blake Lizotte,C,2,69,0.028985507,2,34,0.058823529,299
8480205,Emil Bemstrom,C,4,76,0.052631579,2,25,0.08,300
8477038,Nikita Gusev,L,8,111,0.072072072,2,42,0.047619048,301
8466139,Patrick Marleau,C,9,96,0.09375,2,47,0.042553191,302
